priorizado,dss,anio,correlacion,ci_lower,ci_upper,p_value,n,rank_abs,top10
tuberculosis,gini,2020,0.013986013986013988,-0.5644543647981471,0.5832143900550019,0.9655902689187796,12,2,TRUE
tuberculosis,gasto-educ-pib,2020,-0.0011127184329769696,-0.36124315563501896,0.35930657628797974,0.9953438686499099,30,3,TRUE
tuberculosis,uso-internet,2021,-0.2996335317770972,-0.6101750951095369,0.09071629983025781,0.12891314577890245,27,1,TRUE
tuberculosis,gini,2021,0.26207120918047955,-0.33768331345899866,0.7104725832382519,0.3870570787830163,13,2,TRUE
tuberculosis,gasto-educ-pib,2021,-0.17505294740678864,-0.49847872078869854,0.19115003144685494,0.34624308119631886,31,3,TRUE
tuberculosis,uso-internet,2022,-0.35074869607069104,-0.6448198733143073,0.03377325066241513,0.07284778859908979,27,1,TRUE
tuberculosis,gasto-educ-pib,2022,-0.26246666583573763,-0.5689425711969965,0.10802329777306871,0.1611511790077657,30,2,TRUE
tuberculosis,gini,2022,0.057205755188472505,-0.4881997028283665,0.5704775556161092,0.8459835436129702,14,3,TRUE
tuberculosis,gini,2023,-0.38461538461538464,-0.7720049606213658,0.21111809596910355,0.19441291997748622,13,1,TRUE
tuberculosis,uso-internet,2023,-0.2973591852687696,-0.6086054907914478,0.09319200088807317,0.13198457178731282,27,2,TRUE
tuberculosis,gasto-educ-pib,2023,-0.18503558718894128,-0.5406440581540449,0.2266750164868409,0.37589030811201973,25,3,TRUE
tuberculosis,gasto-educ-pib,2024,-0.34545454545454546,-0.7830619331181295,0.32093719325641196,0.2980892209030389,11,1,TRUE
tuberculosis,uso-internet,2024,-0.21135432152575268,-0.5534054215909133,0.19169831351850283,0.29998535337873283,26,2,TRUE
tuberculosis,gini,2024,-0.07977999294270577,-0.6042130849165482,0.49287934739398165,0.7955744588596178,13,3,TRUE
