tipo,indicador,iso3,territorio,anio,valor
dss,gasto-educ-pib,PAN,Panamá,2002,4.2549901008606
dss,gasto-educ-pib,PRY,Paraguay,2002,3.40773010253906
dss,gasto-educ-pib,PER,Perú,2002,2.82056999206543
dss,gasto-educ-pib,DOM,República Dominicana,2002,1.9140100479126
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,2002,3.92051005363464
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,2002,7.38802003860474
dss,gasto-educ-pib,TTO,Trinidad y Tobago,2002,3.54300999641419
dss,gasto-educ-pib,URY,Uruguay,2002,2.32220005989075
dss,gasto-educ-pib,ARG,Argentina,2003,3.53504991531372
dss,gasto-educ-pib,BRB,Barbados,2003,6.24569988250732
dss,gasto-educ-pib,BLZ,Belice,2003,3.90120005607605
dss,gasto-educ-pib,BMU,Bermudas,2003,1.6662700176239
dss,gasto-educ-pib,CHL,Chile,2003,3.91868996620178
dss,gasto-educ-pib,COL,Colombia,2003,4.32513999938965
dss,gasto-educ-pib,CRI,Costa Rica,2003,5.13373994827271
dss,gasto-educ-pib,CUB,Cuba,2003,9.9408597946167
dss,gasto-educ-pib,SLV,El Salvador,2003,3.13467001914978
dss,gasto-educ-pib,GRD,Granada,2003,3.92673993110657
dss,gasto-educ-pib,GUY,Guyana,2003,6.95590019226074
dss,gasto-educ-pib,TCA,Islas Turcas y Caicos,2003,4.72877979278565
dss,gasto-educ-pib,JAM,Jamaica,2003,4.25684976577759
dss,gasto-educ-pib,MEX,México,2003,4.83262014389038
dss,gasto-educ-pib,NIC,Nicaragua,2003,2.42200994491577
dss,gasto-educ-pib,PAN,Panamá,2003,4.19644021987915
dss,gasto-educ-pib,PRY,Paraguay,2003,3.3827600479126
dss,gasto-educ-pib,PER,Perú,2003,2.93779993057251
dss,gasto-educ-pib,DOM,República Dominicana,2003,1.84465003013611
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,2003,3.79099011421204
dss,gasto-educ-pib,VCT,San Vicente y las Granadinas,2003,8.17488956451416
dss,gasto-educ-pib,LCA,Santa Lucía,2003,3.53449010848999
dss,gasto-educ-pib,TTO,Trinidad y Tobago,2003,3.13660001754761
dss,gasto-educ-pib,URY,Uruguay,2003,2.0682098865509
dss,gasto-educ-pib,ARG,Argentina,2004,3.48652005195618
dss,gasto-educ-pib,ABW,Aruba,2004,4.35698986053467
dss,gasto-educ-pib,BRB,Barbados,2004,6.02428007125854
dss,gasto-educ-pib,BLZ,Belice,2004,4.0096697807312
dss,gasto-educ-pib,BMU,Bermudas,2004,1.77587997913361
dss,gasto-educ-pib,BRA,Brasil,2004,3.97448992729187
dss,gasto-educ-pib,CHL,Chile,2004,3.54307007789612
dss,gasto-educ-pib,COL,Colombia,2004,4.07934999465942
dss,gasto-educ-pib,CRI,Costa Rica,2004,4.89062976837158
dss,gasto-educ-pib,CUB,Cuba,2004,10.2682304382324
dss,gasto-educ-pib,GUY,Guyana,2004,5.51291990280151
dss,gasto-educ-pib,JAM,Jamaica,2004,3.91254997253418
dss,gasto-educ-pib,MEX,México,2004,4.51204013824463
dss,gasto-educ-pib,PAN,Panamá,2004,3.55807995796204
dss,gasto-educ-pib,PRY,Paraguay,2004,2.86989998817444
dss,gasto-educ-pib,PER,Perú,2004,2.95787000656128
dss,gasto-educ-pib,KNA,San Cristóbal y Nieves,2004,3.9713499546051
dss,gasto-educ-pib,LCA,Santa Lucía,2004,3.43646001815796
dss,gasto-educ-pib,URY,Uruguay,2004,2.49954009056091
dss,gasto-educ-pib,ARG,Argentina,2005,3.86000990867615
dss,gasto-educ-pib,ABW,Aruba,2005,4.62321996688843
dss,gasto-educ-pib,BRB,Barbados,2005,5.66965007781982
dss,gasto-educ-pib,BMU,Bermudas,2005,1.98877000808716
dss,gasto-educ-pib,BRA,Brasil,2005,4.47909021377563
